_system_object_id;Objekttitel;objektgeschichte[].ereignis_typ#ubmz_event_id;Ereignistyp;objektgeschichte[].datum_ereignis;objektgeschichte[].datum_normiert_ereignis#from;objektgeschichte[].datum_normiert_ereignis#to;objektgeschichte[].unsicher_datum;objektgeschichte[].ort_ereignis#_system_object_id;Ort;objektgeschichte[].unsicher_ort;objektgeschichte[].personen_ereignis[].person_ereignis#_system_object_id;Person/Körperschaft;objektgeschichte[].personen_ereignis[].rolle_ereignis#_system_object_id;Rolle;objektgeschichte[].personen_ereignis[].unsicher;objektgeschichte[].bemerkung_ereignis;objektgeschichte[].ereignis_typ#ubmz_event_id;Ereignistyp;objektgeschichte[].datum_ereignis;objektgeschichte[].datum_normiert_ereignis#from;objektgeschichte[].datum_normiert_ereignis#to;objektgeschichte[].unsicher_datum;objektgeschichte[].ort_ereignis#_system_object_id;Ort;objektgeschichte[].unsicher_ort;objektgeschichte[].personen_ereignis[].person_ereignis#_system_object_id;Person/Körperschaft;objektgeschichte[].personen_ereignis[].rolle_ereignis#_system_object_id;Rolle;objektgeschichte[].personen_ereignis[].unsicher;objektgeschichte[].bemerkung_ereignis;objektgeschichte[].ereignis_typ#ubmz_event_id;Ereignistyp;objektgeschichte[].datum_ereignis;objektgeschichte[].datum_normiert_ereignis#from;objektgeschichte[].datum_normiert_ereignis#to;objektgeschichte[].unsicher_datum;objektgeschichte[].ort_ereignis#_system_object_id;Ort;objektgeschichte[].unsicher_ort;objektgeschichte[].personen_ereignis[].person_ereignis#_system_object_id;Person/Körperschaft;objektgeschichte[].personen_ereignis[].rolle_ereignis#_system_object_id;Rolle;objektgeschichte[].personen_ereignis[].unsicher;objektgeschichte[].bemerkung_ereignis;objektgeschichte[].ereignis_typ#ubmz_event_id;Ereignistyp;objektgeschichte[].datum_ereignis;objektgeschichte[].datum_normiert_ereignis#from;objektgeschichte[].datum_normiert_ereignis#to;objektgeschichte[].unsicher_datum;objektgeschichte[].ort_ereignis#_system_object_id;Ort;objektgeschichte[].unsicher_ort;objektgeschichte[].personen_ereignis[].person_ereignis#_system_object_id;Person/Körperschaft;objektgeschichte[].personen_ereignis[].rolle_ereignis#_system_object_id;Rolle;objektgeschichte[].personen_ereignis[].unsicher;objektgeschichte[].bemerkung_ereignis;
  9154;"Bodhisattva als Musiker Guttila";"ubmz-17";"Künstlerische Schöpfung";"19. Jh.";"1801-01-01";"1900-12-31";"0";"";"";"";"";"";"";"";"";"";"ubmz-14";"Herstellung";"";"";"";"";"9152
";"Bangkok
";"0
";"";"";"";"";"";"";"ubmz-11";"Erwerbung";"";"";"";"";"";"";"";"17820
";"Walter, Ursula
";"217
";"Erwerbung (durch)
";"0
";"";"ubmz-24";"Sammeltätigkeit";"";"";"";"";"";"";"";"9151
";"Meisig, Marion
";"43
";"Sammeltätigkeit (durch)
";"0
";"";""
  17825;"Vāma Śiva Naṭarāja";"ubmz-17";"Künstlerische Schöpfung";"19. Jh.";"1801-01-01";"1900-12-31";"0";"";"";"";"";"";"";"";"";"";"ubmz-14";"Herstellung";"";"";"";"";"17824
";"Tirumalai
";"1
";"";"";"";"";"";" Zum Ort: nahe Kumbakonam";"ubmz-11";"Erwerbung";"";"";"";"";"";"";"";"17820
";"Walter, Ursula
";"217
";"Erwerbung (durch)
";"0
";"";"ubmz-24";"Sammeltätigkeit";"";"";"";"";"";"";"";"9151
";"Meisig, Marion
";"43
";"Sammeltätigkeit (durch)
";"0
";"";""
  19435;"Viṣṇu-Varāha";"ubmz-14";"Herstellung";"";"";"";"";"17821
";"Indien
";"0
";"";"";"";"";"";"";"ubmz-11";"Erwerbung";"";"";"";"";"";"";"";"17820
";"Walter, Ursula
";"217
";"Erwerbung (durch)
";"0
";"";"ubmz-24";"Sammeltätigkeit";"";"";"";"";"";"";"";"9151
";"Meisig, Marion
";"43
";"Sammeltätigkeit (durch)
";"0
";"";""
  19644;"Avalokiteśvara-Ekādaśamukha";"ubmz-14";"Herstellung";"15. Jahrhundert";"1401-01-01";"1500-12-31";"1";"19643
";"Tibet
";"0
";"";"";"";"";"";"";"ubmz-11";"Erwerbung";"1985";"1985-01-01";"1985-12-31";"0";"23556
";"Kathmandu
";"0
";"17820
";"Walter, Ursula
";"217
";"Erwerbung (durch)
";"0
";"";"ubmz-24";"Sammeltätigkeit";"";"";"";"";"";"";"";"9151
";"Meisig, Marion
";"43
";"Sammeltätigkeit (durch)
";"0
";"";""
  19668;"Buddha";"ubmz-14";"Herstellung";"";"1933-05-20";"1933-05-20";"0";"";"";"";"";"";"";"";"";"";"ubmz-11";"Erwerbung";"";"";"";"";"23558
";"Colombo
";"0
";"17820
";"Walter, Ursula
";"217
";"Erwerbung (durch)
";"0
";"";"ubmz-24";"Sammeltätigkeit";"";"";"";"";"";"";"";"9151
";"Meisig, Marion
";"43
";"Sammeltätigkeit (durch)
";"0
";"";""
  19741;"Ānanda";"ubmz-14";"Herstellung";"19. - 20. Jahrhundert";"1801-01-01";"2000-12-31";"0";"19738
";"Myanmar
";"0
";"";"";"";"";"";"";"ubmz-11";"Erwerbung";"";"";"";"";"25167
";"Chiang Mai
";"0
";"17820
";"Walter, Ursula
";"217
";"Erwerbung (durch)
";"0
";"";"ubmz-24";"Sammeltätigkeit";"";"";"";"";"";"";"";"9151
";"Meisig, Marion
";"43
";"Sammeltätigkeit (durch)
";"0
";"";""
  19771;"Buddha unter Bodhi-Baum";"ubmz-14";"Herstellung";"20. Jahrhundert";"1901-01-01";"2000-12-31";"0";"19667
";"Sri Lanka
";"0
";"";"";"";"";"";"";"ubmz-11";"Erwerbung";"1979";"1979-01-01";"1979-12-31";"0";"23558
";"Colombo
";"0
";"17820
";"Walter, Ursula
";"217
";"Erwerbung (durch)
";"0
";"";"ubmz-24";"Sammeltätigkeit";"";"";"";"";"";"";"";"9151
";"Meisig, Marion
";"43
";"Sammeltätigkeit (durch)
";"0
";"";""
  19823;"Bodhisattva Mañjuśrī";"ubmz-14";"Herstellung";"19. Jahrhundert";"1801-01-01";"1900-12-31";"0";"19830
";"Himālaya
";"0
";"";"";"";"";"";"";"ubmz-11";"Erwerbung";"";"";"";"";"";"";"";"17820
";"Walter, Ursula
";"217
";"Erwerbung (durch)
";"0
";"";"ubmz-24";"Sammeltätigkeit";"";"";"";"";"";"";"";"9151
";"Meisig, Marion
";"43
";"Sammeltätigkeit (durch)
";"0
";"";""
  19831;"Buddha Siddhārta Gautama";"ubmz-14";"Herstellung";"20. Jahrhundert";"1901-01-01";"2000-12-31";"0";"15394
";"Thailand
";"0
";"";"";"";"";"";"";"ubmz-11";"Erwerbung";"";"";"";"";"";"";"";"17820
";"Walter, Ursula
";"217
";"Erwerbung (durch)
";"0
";"";"ubmz-24";"Sammeltätigkeit";"";"";"";"";"";"";"";"9151
";"Meisig, Marion
";"43
";"Sammeltätigkeit (durch)
";"0
";"";""
  19968;"Gaṇeśa";"ubmz-14";"Herstellung";"19. Jahrhundert";"1801-01-01";"1900-12-31";"0";"17822
";"Südindien
";"0
";"";"";"";"";"";"";"ubmz-11";"Erwerbung";"";"";"";"";"";"";"";"17820
";"Walter, Ursula
";"217
";"Erwerbung (durch)
";"0
";"";"ubmz-24";"Sammeltätigkeit";"";"";"";"";"";"";"";"9151
";"Meisig, Marion
";"43
";"Sammeltätigkeit (durch)
";"0
";"";""
  19972;"Grüne Tārā";"ubmz-14";"Herstellung";"19. Jahrhundert";"1801-01-01";"1900-12-31";"0";"19830
";"Himālaya
";"0
";"";"";"";"";"";"";"ubmz-11";"Erwerbung";"";"";"";"";"";"";"";"17820
";"Walter, Ursula
";"217
";"Erwerbung (durch)
";"0
";"";"ubmz-24";"Sammeltätigkeit";"";"";"";"";"";"";"";"9151
";"Meisig, Marion
";"43
";"Sammeltätigkeit (durch)
";"0
";"";""
  20548;"Gandharven-Pärchen";"ubmz-14";"Herstellung";"19. Jahrhundert";"1801-01-01";"1900-12-31";"0";"17821
";"Indien
";"0
";"";"";"";"";"";"";"ubmz-11";"Erwerbung";"";"";"";"";"";"";"";"17820
";"Walter, Ursula
";"217
";"Erwerbung (durch)
";"0
";"";"ubmz-24";"Sammeltätigkeit";"";"";"";"";"";"";"";"9151
";"Meisig, Marion
";"43
";"Sammeltätigkeit (durch)
";"0
";"";""
  20549;"Opferlöffel";"ubmz-14";"Herstellung";"19. Jahrhundert";"1801-01-01";"1900-12-31";"0";"17821
";"Indien
";"0
";"";"";"";"";"";"";"ubmz-11";"Erwerbung";"";"";"";"";"";"";"";"17820
";"Walter, Ursula
";"217
";"Erwerbung (durch)
";"0
";"";"ubmz-24";"Sammeltätigkeit";"";"";"";"";"";"";"";"9151
";"Meisig, Marion
";"43
";"Sammeltätigkeit (durch)
";"0
";"";""
  20550;"Śakuntalā";"ubmz-17";"Künstlerische Schöpfung";"19.Jahrhundert";"1801-01-01";"1900-12-31";"0";"";"";"";"";"";"";"";"";"";"ubmz-14";"Herstellung";"";"";"";"";"17821
";"Indien
";"0
";"";"";"";"";"";"";"ubmz-11";"Erwerbung";"";"";"";"";"";"";"";"17820
";"Walter, Ursula
";"217
";"Erwerbung (durch)
";"0
";"";"ubmz-24";"Sammeltätigkeit";"";"";"";"";"";"";"";"9151
";"Meisig, Marion
";"43
";"Sammeltätigkeit (durch)
";"0
";"";""
  20551;"Śālabhañjikā";"ubmz-14";"Herstellung";"19. Jahrhundert";"1801-01-01";"1900-12-31";"0";"17821
";"Indien
";"0
";"";"";"";"";"";" Zum Ort: Himālaya-Region";"ubmz-11";"Erwerbung";"";"";"";"";"";"";"";"17820
";"Walter, Ursula
";"217
";"Erwerbung (durch)
";"0
";"";"ubmz-24";"Sammeltätigkeit";"";"";"";"";"";"";"";"9151
";"Meisig, Marion
";"43
";"Sammeltätigkeit (durch)
";"0
";"";""
  20552;"Apsaras als Gandharvī";"ubmz-14";"Herstellung";"19. Jahrhundert";"1801-01-01";"1900-12-31";"0";"17821
";"Indien
";"0
";"";"";"";"";"";"";"ubmz-11";"Erwerbung";"";"";"";"";"";"";"";"17820
";"Walter, Ursula
";"217
";"Erwerbung (durch)
";"0
";"";"ubmz-24";"Sammeltätigkeit";"";"";"";"";"";"";"";"9151
";"Meisig, Marion
";"43
";"Sammeltätigkeit (durch)
";"0
";"";""
  20553;"Die Flussgöttin Gaṅgā";"ubmz-17";"Künstlerische Schöpfung";"19. Jahrhundert";"1801-01-01";"1900-12-31";"0";"";"";"";"";"";"";"";"";"";"ubmz-11";"Erwerbung";"";"";"";"";"19971
";"Nepal
";"0
";"17820
";"Walter, Ursula
";"217
";"Erwerbung (durch)
";"0
";" Zum Ort: Themi (laut Begleitzettel)";"ubmz-24";"Sammeltätigkeit";"";"";"";"";"";"";"";"9151
";"Meisig, Marion
";"43
";"Sammeltätigkeit (durch)
";"0
";"";""
  20555;"Yoginī Vidyādharī";"ubmz-14";"Herstellung";"19. Jahrhundert";"1801-01-01";"1900-12-31";"0";"19830
";"Himālaya
";"0
";"";"";"";"";"";"";"ubmz-11";"Erwerbung";"";"";"";"";"";"";"";"17820
";"Walter, Ursula
";"217
";"Erwerbung (durch)
";"0
";"";"ubmz-24";"Sammeltätigkeit";"";"";"";"";"";"";"";"9151
";"Meisig, Marion
";"43
";"Sammeltätigkeit (durch)
";"0
";"";""
  20556;"Rāmānuja";"ubmz-14";"Herstellung";"19. Jahrhundert";"1801-01-01";"1900-12-31";"0";"17821
";"Indien
";"0
";"";"";"";"";"";"";"ubmz-11";"Erwerbung";"";"";"";"";"";"";"";"17820
";"Walter, Ursula
";"217
";"Erwerbung (durch)
";"0
";"";"ubmz-24";"Sammeltätigkeit";"";"";"";"";"";"";"";"9151
";"Meisig, Marion
";"43
";"Sammeltätigkeit (durch)
";"0
";"";""
  20557;"Rāma, Sītā, Lakṣmaṇa und Hanumān";"ubmz-14";"Herstellung";"19. Jahrhundert";"1801-01-01";"1900-12-31";"0";"17821
";"Indien
";"0
";"";"";"";"";"";"";"ubmz-11";"Erwerbung";"";"";"";"";"";"";"";"17820
";"Walter, Ursula
";"217
";"Erwerbung (durch)
";"0
";"";"ubmz-24";"Sammeltätigkeit";"";"";"";"";"";"";"";"9151
";"Meisig, Marion
";"43
";"Sammeltätigkeit (durch)
";"0
";"";""
  20558;"Rāma";"ubmz-14";"Herstellung";"19. Jahrhundert";"1801-01-01";"1900-12-31";"0";"17821
";"Indien
";"0
";"";"";"";"";"";"";"ubmz-11";"Erwerbung";"";"";"";"";"";"";"";"17820
";"Walter, Ursula
";"217
";"Erwerbung (durch)
";"0
";"";"ubmz-24";"Sammeltätigkeit";"";"";"";"";"";"";"";"9151
";"Meisig, Marion
";"43
";"Sammeltätigkeit (durch)
";"0
";"";""
  20559;"Garuḍa";"ubmz-14";"Herstellung";"19. Jahrhundert";"1801-01-01";"1900-12-31";"0";"19830
";"Himālaya
";"0
";"";"";"";"";"";"";"ubmz-11";"Erwerbung";"";"";"";"";"";"";"";"17820
";"Walter, Ursula
";"217
";"Erwerbung (durch)
";"0
";"";"ubmz-24";"Sammeltätigkeit";"";"";"";"";"";"";"";"9151
";"Meisig, Marion
";"43
";"Sammeltätigkeit (durch)
";"0
";"";""
  20561;"Garuḍa";"ubmz-14";"Herstellung";"19. Jahrhundert";"1801-01-01";"1900-12-31";"0";"20560
";"Rajasthan
";"0
";"";"";"";"";"";"";"ubmz-11";"Erwerbung";"";"";"";"";"";"";"";"17820
";"Walter, Ursula
";"217
";"Erwerbung (durch)
";"0
";"";"ubmz-24";"Sammeltätigkeit";"";"";"";"";"";"";"";"9151
";"Meisig, Marion
";"43
";"Sammeltätigkeit (durch)
";"0
";"";""
  20562;"Śiva Naṭarāja";"ubmz-14";"Herstellung";"19. Jahrhundert";"1801-01-01";"1900-12-31";"0";"17822
";"Südindien
";"0
";"";"";"";"";"";"";"ubmz-11";"Erwerbung";"";"";"";"";"";"";"";"17820
";"Walter, Ursula
";"217
";"Erwerbung (durch)
";"0
";"";"ubmz-24";"Sammeltätigkeit";"";"";"";"";"";"";"";"9151
";"Meisig, Marion
";"43
";"Sammeltätigkeit (durch)
";"0
";"";""
  20568;"Kṛṣṇa";"ubmz-14";"Herstellung";"18.-19. Jahrhundert";"1701-01-01";"1900-12-31";"0";"17821
";"Indien
";"0
";"";"";"";"";"";"";"ubmz-11";"Erwerbung";"";"";"";"";"";"";"";"17820
";"Walter, Ursula
";"217
";"Erwerbung (durch)
";"0
";"";"ubmz-24";"Sammeltätigkeit";"";"";"";"";"";"";"";"9151
";"Meisig, Marion
";"43
";"Sammeltätigkeit (durch)
";"0
";"";""
  20570;"Kṛṣṇa als kleines Kind";"ubmz-14";"Herstellung";"19. Jahrhundert";"1801-01-01";"1900-12-31";"0";"20569
";"Nordwestindien
";"0
";"";"";"";"";"";"";"ubmz-11";"Erwerbung";"";"";"";"";"";"";"";"17820
";"Walter, Ursula
";"217
";"Erwerbung (durch)
";"0
";"";"ubmz-24";"Sammeltätigkeit";"";"";"";"";"";"";"";"9151
";"Meisig, Marion
";"43
";"Sammeltätigkeit (durch)
";"0
";"";""
  20571;"Somaskanda";"ubmz-14";"Herstellung";"19. Jahrhundert";"1801-01-01";"1900-12-31";"0";"17822
";"Südindien
";"0
";"";"";"";"";"";"";"ubmz-11";"Erwerbung";"";"";"";"";"";"";"";"17820
";"Walter, Ursula
";"217
";"Erwerbung (durch)
";"0
";"";"ubmz-24";"Sammeltätigkeit";"";"";"";"";"";"";"";"9151
";"Meisig, Marion
";"43
";"Sammeltätigkeit (durch)
";"0
";"";""
  20572;"Umā-Maheśvara-Mūrti mit Gaṇeśa";"ubmz-14";"Herstellung";"19. Jahrhundert";"1801-01-01";"1900-12-31";"0";"17821
";"Indien
";"0
";"";"";"";"";"";"";"ubmz-11";"Erwerbung";"";"";"";"";"";"";"";"17820
";"Walter, Ursula
";"217
";"Erwerbung (durch)
";"0
";"";"ubmz-24";"Sammeltätigkeit";"";"";"";"";"";"";"";"9151
";"Meisig, Marion
";"43
";"Sammeltätigkeit (durch)
";"0
";"";""
  20573;"Skanda und seine Gefährtinnen";"ubmz-17";"Künstlerische Schöpfung";"19. Jahrhundert";"1801-01-01";"1900-12-31";"0";"";"";"";"";"";"";"";"";"";"ubmz-14";"Herstellung";"";"";"";"";"17821
";"Indien
";"0
";"";"";"";"";"";"";"ubmz-11";"Erwerbung";"1975";"1975-01-01";"1975-12-31";"0";"23700
";"Mumbai
";"0
";"17820
";"Walter, Ursula
";"217
";"Erwerbung (durch)
";"0
";"";"ubmz-24";"Sammeltätigkeit";"";"";"";"";"";"";"";"9151
";"Meisig, Marion
";"43
";"Sammeltätigkeit (durch)
";"0
";"";""
  20574;"Śiva-Ardhanārīśvara";"ubmz-14";"Herstellung";"19. Jahrhundert";"1801-01-01";"1900-12-31";"0";"19971
";"Nepal
";"1
";"";"";"";"";"";" Zum Ort: Bodhnath (laut Aufkleber)";"ubmz-11";"Erwerbung";"";"";"";"";"";"";"";"17820
";"Walter, Ursula
";"217
";"Erwerbung (durch)
";"0
";"";"ubmz-24";"Sammeltätigkeit";"";"";"";"";"";"";"";"9151
";"Meisig, Marion
";"43
";"Sammeltätigkeit (durch)
";"0
";"";""
  20575;"Bodhisattva Padmapāṇi";"ubmz-14";"Herstellung";"18.-19. Jahrhundert";"1701-01-01";"1900-12-31";"0";"17821
";"Indien
";"1
";"";"";"";"";"";" Zum Ort: Orissa?";"ubmz-11";"Erwerbung";"";"";"";"";"";"";"";"17820
";"Walter, Ursula
";"217
";"Erwerbung (durch)
";"0
";"";"ubmz-24";"Sammeltätigkeit";"";"";"";"";"";"";"";"9151
";"Meisig, Marion
";"43
";"Sammeltätigkeit (durch)
";"0
";"";""
  20576;"Padmasaṃbhava";"ubmz-14";"Herstellung";"19. Jahrhundert";"1801-01-01";"1900-12-31";"0";"19643
";"Tibet
";"0
";"";"";"";"";"";"";"ubmz-11";"Erwerbung";"";"";"";"";"";"";"";"17820
";"Walter, Ursula
";"217
";"Erwerbung (durch)
";"0
";"";"ubmz-24";"Sammeltätigkeit";"";"";"";"";"";"";"";"9151
";"Meisig, Marion
";"43
";"Sammeltätigkeit (durch)
";"0
";"";""
  20577;"Tibetische Tempelglocke";"ubmz-14";"Herstellung";"19. Jahrhundert";"1801-01-01";"1900-12-31";"0";"19643
";"Tibet
";"0
";"";"";"";"";"";" Zum Ort: Himālaya-Region";"ubmz-11";"Erwerbung";"";"";"";"";"";"";"";"17820
";"Walter, Ursula
";"217
";"Erwerbung (durch)
";"0
";"";"ubmz-24";"Sammeltätigkeit";"";"";"";"";"";"";"";"9151
";"Meisig, Marion
";"43
";"Sammeltätigkeit (durch)
";"0
";"";""
  20578;"Vajra";"ubmz-14";"Herstellung";"19. Jahrhundert";"1801-01-01";"1900-12-31";"0";"19643
";"Tibet
";"0
";"";"";"";"";"";" Zum Ort: Himālaya-Region";"ubmz-11";"Erwerbung";"";"";"";"";"";"";"";"17820
";"Walter, Ursula
";"217
";"Erwerbung (durch)
";"0
";"";"ubmz-24";"Sammeltätigkeit";"";"";"";"";"";"";"";"9151
";"Meisig, Marion
";"43
";"Sammeltätigkeit (durch)
";"0
";"";""
